Unnamed: 0,Prompt,Answer,wikipedia_link_1,wikipedia_link_2,wikipedia_link_3,wikipedia_link_4,wikipedia_link_5,wikipedia_link_6,wikipedia_link_7,wikipedia_link_8,wikipedia_link_9,wikipedia_link_10,wikipedia_link_11+,reasoning_types,wiki_links
10,"An Australian artist, born the same year as artist Janet Cumbrae Stewart and fellow member of the Melbourne Society of Women Painters and Sculptors, had her painting featured on the cover of Women's World Magazine in 1923. What is the name of the painting?",Reve d'Or,https://en.wikipedia.org/wiki/Janet_Cumbrae_Stewart,https://en.wikipedia.org/wiki/Melbourne_Society_of_Women_Painters_and_Sculptors,https://en.wikipedia.org/wiki/Dora_Wilson,,,,,,,,,Multiple constraints | Temporal reasoning,"['https://en.wikipedia.org/wiki/Janet_Cumbrae_Stewart', 'https://en.wikipedia.org/wiki/Melbourne_Society_of_Women_Painters_and_Sculptors', 'https://en.wikipedia.org/wiki/Dora_Wilson']"
11,"As of July 1, 2024, what is the parent company of the current record label of the singer of Edge of Seventeen?",Warner Music Group,https://en.wikipedia.org/wiki/Edge_of_Seventeen,https://en.wikipedia.org/wiki/Stevie_Nicks,https://en.wikipedia.org/wiki/Reprise_Records,https://en.wikipedia.org/wiki/Atlantic_Records,https://en.wikipedia.org/wiki/Modern_Records_(1980),https://en.wikipedia.org/wiki/Warner_Music_Group,https://en.wikipedia.org/wiki/Warner_Records,,,,,Tabular reasoning | Multiple constraints,"['https://en.wikipedia.org/wiki/Edge_of_Seventeen', 'https://en.wikipedia.org/wiki/Stevie_Nicks', 'https://en.wikipedia.org/wiki/Reprise_Records', 'https://en.wikipedia.org/wiki/Atlantic_Records', 'https://en.wikipedia.org/wiki/Modern_Records_(1980)', 'https://en.wikipedia.org/wiki/Warner_Music_Group', 'https://en.wikipedia.org/wiki/Warner_Records']"
12,The Basibasy mine is located in Madagascar. This mine is abundant in a specific chemical element that was discovered for the first time in 1791. The person who discovered this element was born on what is now known as a major US holiday - what holiday is this?,Christmas,https://en.wikipedia.org/wiki/Basibasy_mine,https://en.wikipedia.org/wiki/Titanium,https://en.wikipedia.org/wiki/William_Gregor,https://en.wikipedia.org/wiki/Christmas,,,,,,,,Multiple constraints,"['https://en.wikipedia.org/wiki/Basibasy_mine', 'https://en.wikipedia.org/wiki/Titanium', 'https://en.wikipedia.org/wiki/William_Gregor', 'https://en.wikipedia.org/wiki/Christmas']"
13,"One of Barbara Kingsolver's best known novels is about an American missionary family which moves to Africa. At the time, the country they move to was a Belgian colony. Which year did it become independent?",1960,https://en.wikipedia.org/wiki/Barbara_Kingsolver,https://en.wikipedia.org/wiki/The_Poisonwood_Bible,https://en.wikipedia.org/wiki/Belgian_Congo,,,,,,,,,Multiple constraints,"['https://en.wikipedia.org/wiki/Barbara_Kingsolver', 'https://en.wikipedia.org/wiki/The_Poisonwood_Bible', 'https://en.wikipedia.org/wiki/Belgian_Congo']"
14,Which football player got 15 or more assists in La Liga during the 2010-2011 season and also played for Arsenal at one point in his career?,This was Mesut Ozil.,https://en.wikipedia.org/wiki/2010–11_La_Liga,https://en.wikipedia.org/wiki/Mesut_Özil,https://en.wikipedia.org/wiki/Dani_Alves,https://en.wikipedia.org/wiki/Lionel_Messi,,,,,,,,Numerical reasoning | Tabular reasoning | Multiple constraints,"['https://en.wikipedia.org/wiki/2010–11_La_Liga', 'https://en.wikipedia.org/wiki/Mesut_Özil', 'https://en.wikipedia.org/wiki/Dani_Alves', 'https://en.wikipedia.org/wiki/Lionel_Messi']"
15,In Slovakia there is a well known Film Festival called the Bratistlava International Film Festival. What city/ town was the film editor for the Grand Prix winner of 2003 born in?,Roudnice nad Labem,https://en.wikipedia.org/wiki/Bratislava_International_Film_Festival,https://en.wikipedia.org/wiki/Boredom_in_Brno,https://en.wikipedia.org/wiki/Ji%C5%99%C3%AD_Bro%C5%BEek,https://en.wikipedia.org/wiki/Roudnice_nad_Labem,,,,,,,,Tabular reasoning | Multiple constraints,"['https://en.wikipedia.org/wiki/Bratislava_International_Film_Festival', 'https://en.wikipedia.org/wiki/Boredom_in_Brno', 'https://en.wikipedia.org/wiki/Ji%C5%99%C3%AD_Bro%C5%BEek', 'https://en.wikipedia.org/wiki/Roudnice_nad_Labem']"
16,"On March 7th, 2012, the director James Cameron explored a very deep underseas trench.  As of August 3, 2024, how many times would the tallest building in San Francisco fit end to end from the bottom of the New Britain Trench to the surface of the ocean? The answer should be a rounded-off whole number.   ",28,https://en.wikipedia.org/wiki/James_Cameron,https://en.wikipedia.org/wiki/Solomon_Sea#Deepest_point,https://en.wikipedia.org/wiki/List_of_tallest_buildings_in_San_Francisco,,,,,,,,,Numerical reasoning | Tabular reasoning | Post processing | Temporal reasoning,"['https://en.wikipedia.org/wiki/James_Cameron', 'https://en.wikipedia.org/wiki/Solomon_Sea#Deepest_point', 'https://en.wikipedia.org/wiki/List_of_tallest_buildings_in_San_Francisco']"
17,"In August of 2024, what is the first name of the mayor of the U.S. state capital city who attended the same university as at least one U.S. president and whose city is home to an outgoing or former full member of the Big 12 Conference",Leirion,https://en.wikipedia.org/wiki/Big_12_Conference,"https://en.wikipedia.org/wiki/Lincoln,_Nebraska",https://en.wikipedia.org/wiki/Leirion_Gaylor_Baird,https://en.wikipedia.org/wiki/List_of_presidents_of_the_United_States_by_education,,,,,,,,Multiple constraints,"['https://en.wikipedia.org/wiki/Big_12_Conference', 'https://en.wikipedia.org/wiki/Lincoln,_Nebraska', 'https://en.wikipedia.org/wiki/Leirion_Gaylor_Baird', 'https://en.wikipedia.org/wiki/List_of_presidents_of_the_United_States_by_education']"
18,"How many years after the founding of the 50th most populous US city, based on 2023 estimate population data, did Frank Fox receive UK Patent (1344259)?","98 Years (Arlington, TX & Rubik's Cube)",https://en.wikipedia.org/wiki/List_of_United_States_cities_by_population,"https://en.wikipedia.org/wiki/Arlington,_Texas",https://en.wikipedia.org/wiki/Rubik%27s_Cube,,,,,,,,,Numerical reasoning | Tabular reasoning | Multiple constraints | Temporal reasoning,"['https://en.wikipedia.org/wiki/List_of_United_States_cities_by_population', 'https://en.wikipedia.org/wiki/Arlington,_Texas', 'https://en.wikipedia.org/wiki/Rubik%27s_Cube']"
19,"As of August 4, 2024, in what state was the first secretary of the latest United States federal executive department born?",Pennsylvania,https://en.wikipedia.org/wiki/United_States_federal_executive_departments#Former_departments,https://en.wikipedia.org/wiki/United_States_Secretary_of_Homeland_Security,https://en.wikipedia.org/wiki/Tom_Ridge,,,,,,,,,Tabular reasoning | Multiple constraints,"['https://en.wikipedia.org/wiki/United_States_federal_executive_departments#Former_departments', 'https://en.wikipedia.org/wiki/United_States_Secretary_of_Homeland_Security', 'https://en.wikipedia.org/wiki/Tom_Ridge']"
20,"As of August 1 2024, what is the most recently described genus of Colosteidae?","Deltaherpeton, first described in 2010",https://en.wikipedia.org/wiki/Colosteidae,https://en.wikipedia.org/wiki/Deltaherpeton,https://en.wikipedia.org/wiki/Greererpeton,https://en.wikipedia.org/wiki/Pholidogaster,,,,,,,,Tabular reasoning | Temporal reasoning,"['https://en.wikipedia.org/wiki/Colosteidae', 'https://en.wikipedia.org/wiki/Deltaherpeton', 'https://en.wikipedia.org/wiki/Greererpeton', 'https://en.wikipedia.org/wiki/Pholidogaster']"
21,Małgorzata Rożniecka is a model who won the title of Miss International. What is the difference in title years from when she won and the pageant winner who was murdered by her stalker?,10 years,https://en.wikipedia.org/wiki/Ma%C5%82gorzata_Ro%C5%BCniecka,https://en.wikipedia.org/wiki/Miss_International,https://en.wikipedia.org/wiki/Agnieszka_Kotlarska,,,,,,,,,Numerical reasoning | Tabular reasoning,"['https://en.wikipedia.org/wiki/Ma%C5%82gorzata_Ro%C5%BCniecka', 'https://en.wikipedia.org/wiki/Miss_International', 'https://en.wikipedia.org/wiki/Agnieszka_Kotlarska']"
22,"According to the 1990 United States census, what was the total population of the cities in Oklahoma that had at least 100,000 residents according to the 2020 United States census?",950135,https://en.wikipedia.org/wiki/List_of_United_States_cities_by_population,https://en.wikipedia.org/wiki/Oklahoma_City,"https://en.wikipedia.org/wiki/Tulsa,_Oklahoma","https://en.wikipedia.org/wiki/Broken_Arrow,_Oklahoma","https://en.wikipedia.org/wiki/Norman,_Oklahoma",,,,,,,Numerical reasoning | Tabular reasoning | Multiple constraints,"['https://en.wikipedia.org/wiki/List_of_United_States_cities_by_population', 'https://en.wikipedia.org/wiki/Oklahoma_City', 'https://en.wikipedia.org/wiki/Tulsa,_Oklahoma', 'https://en.wikipedia.org/wiki/Broken_Arrow,_Oklahoma', 'https://en.wikipedia.org/wiki/Norman,_Oklahoma']"
23,"What was the political party of the person who advocated for the type of government used in Chikhali, Latur district to become the foundation of India's political system?",Indian National Congress,"https://en.wikipedia.org/wiki/Chikhali,_Latur_district",https://en.wikipedia.org/wiki/Panchayati_raj,https://en.wikipedia.org/wiki/Mahatma_Gandhi,,,,,,,,,Tabular reasoning | Multiple constraints,"['https://en.wikipedia.org/wiki/Chikhali,_Latur_district', 'https://en.wikipedia.org/wiki/Panchayati_raj', 'https://en.wikipedia.org/wiki/Mahatma_Gandhi']"
24,"Giorgio Rognoni was an Italian professional footballer who played as a midfielder. 10 years after his death who was the midfielder who played in Milan that was born in Besana in Brianza,?",Demetrio Albertini,https://en.wikipedia.org/wiki/Giorgio_Rognoni,https://en.wikipedia.org/wiki/1996%E2%80%9397_AC_Milan_season,https://en.wikipedia.org/wiki/Demetrio_Albertini,,,,,,,,,Numerical reasoning,"['https://en.wikipedia.org/wiki/Giorgio_Rognoni', 'https://en.wikipedia.org/wiki/1996%E2%80%9397_AC_Milan_season', 'https://en.wikipedia.org/wiki/Demetrio_Albertini']"
25,What was the age difference between Mike Tyson and Tyson Fury on the respective days on which they lost their first ever fights? Represent the figure in years only.,12 years.,https://en.wikipedia.org/wiki/Tyson_Fury,https://en.wikipedia.org/wiki/Mike_Tyson,https://en.wikipedia.org/wiki/Mike_Tyson_vs._Buster_Douglas,https://en.wikipedia.org/wiki/Tyson_Fury_vs_Oleksandr_Usyk,,,,,,,,Numerical reasoning | Post processing,"['https://en.wikipedia.org/wiki/Tyson_Fury', 'https://en.wikipedia.org/wiki/Mike_Tyson', 'https://en.wikipedia.org/wiki/Mike_Tyson_vs._Buster_Douglas', 'https://en.wikipedia.org/wiki/Tyson_Fury_vs_Oleksandr_Usyk']"
26,"Using the Pruett rule, out of all of the blue moons that occurred between the beginning of World War I and the end of World War II, how many of them occurred on the 31st of the month?",9,https://en.wikipedia.org/wiki/Blue_moon#Blue_moon_dates,https://en.wikipedia.org/wiki/World_War_I#,https://en.wikipedia.org/wiki/World_War_II,,,,,,,,,Numerical reasoning | Tabular reasoning | Multiple constraints | Temporal reasoning,"['https://en.wikipedia.org/wiki/Blue_moon#Blue_moon_dates', 'https://en.wikipedia.org/wiki/World_War_I#', 'https://en.wikipedia.org/wiki/World_War_II']"
27,What number would Tommy Lawton have worn playing for Chelsea FC?,9,https://en.wikipedia.org/wiki/Tommy_Lawton,https://en.wikipedia.org/wiki/Squad_number_(association_football),,,,,,,,,,Temporal reasoning,"['https://en.wikipedia.org/wiki/Tommy_Lawton', 'https://en.wikipedia.org/wiki/Squad_number_(association_football)']"
28,"If you subtract the year that William McCrary ""Billy"" Ray II was born from the year Obama was first sworn in as President to the United States and multiply it by the number of administrative regions in France as of January 1, 2024, what number would you get?",828,https://en.wikipedia.org/wiki/William_M._Ray_II,https://en.wikipedia.org/wiki/Barack_Obama,https://en.wikipedia.org/wiki/Regions_of_France,,,,,,,,,Numerical reasoning,"['https://en.wikipedia.org/wiki/William_M._Ray_II', 'https://en.wikipedia.org/wiki/Barack_Obama', 'https://en.wikipedia.org/wiki/Regions_of_France']"
29,"If Princess Diana had been born three years earlier, who would have been Prime Minister when she was ten? ",Harold Wilson,"https://en.wikipedia.org/wiki/Diana,_Princess_of_Wales",https://en.wikipedia.org/wiki/List_of_prime_ministers_of_the_United_Kingdom,,,,,,,,,,Numerical reasoning | Multiple constraints | Temporal reasoning,"['https://en.wikipedia.org/wiki/Diana,_Princess_of_Wales', 'https://en.wikipedia.org/wiki/List_of_prime_ministers_of_the_United_Kingdom']"
